;commit_hash_origem;commit_hash_anterior;commit_hash_destino;project_id;merge_commit_id;floss
120;dbe17bb5ab606a380d17909717a297c3d73495b4;f33eb605efb2d55848d0991f7789003f6a626383;155f524deead57bae4a0996f16c12e283c268a13;316;59195;no
237;7b9d1a61ebd63814fbd498ad19e28f692b3dd886;99cfbcd681c17ebe9a954b715b9652e9c71681ea;d89703dec253b5deadcad4a2284aba7eab7558db;333;64318;yes
240;1b8c7c28aedc6ecc4c7b5669c8a4c0909cc7cf56;59ba6f004f6fa68ff48022ede5b75300086f0492;ba2d1ac451d5c62b90064db5c9b3885684537bac;333;63378;no
96;7ad85293903773c3c7ce2c6d03959b2d4c33dc81;a99c488d49b8c9a6d9a61bfb18c718178a48fdbb;5ce4e3185528d1ec7f78fc5e5e200fc4cba185eb;353;74438;no
129;15ea595e1887b1d83d8eb2aa0f440373e0f61fd8;15ea595e1887b1d83d8eb2aa0f440373e0f61fd8;5391c3bed40747b69d8e3a9380a8ba8317dc82a5;372;76342;no
130;47b327e05ea8f3a37faa00568f90407750d7a085;84857fffbf6df13a182fa62b874bc8a60ba513fa;c5c324a1c3aa74391fe7ab5278d0bd9be629e3ca;372;76342;no
104;71d6dc6afe37e9595035bcdf24e5b8a1e8a1fc19;71d6dc6afe37e9595035bcdf24e5b8a1e8a1fc19;694761c026ee35a42f8f6cb2208db786fd3ba622;387;77150;no
33;61d4ddf495489efcc90a1ae7fdc2f99c23f6e024;358e51701e1a58b0c19f63aaf9e62a59165e97ed;71a82624636a1ef265c3b50b6ea4e3d42fd53f88;415;97372;no
36;544ff70f7cf83d513d0fab3f4dd1286ee47180c4;544ff70f7cf83d513d0fab3f4dd1286ee47180c4;819878ff465eb342c51e78058da2e50a4139aad2;415;97372;no
37;b9b25115bba11852fe562de799f4021d03a56572;ff8cacc1fc1b835da9fe6a9267eed9bbc3cc8fd8;5ffaa7a12133852162391e65402ded651877bc3c;415;98278;yes
47;2ec6ed7e1388a7d38a0f2b1a9f0722e054fca4df;484eac4e8038d61c79bd1593dfd1d633881edfc8;1d077ad9b71e9df44f1dcf4369086189a7e9eaa0;415;97927;yes
50;a2aa8f27ac7628f380b40c8507bde8bb5cbf53a4;e546dfbe77b563bdc9368430ffbc3a1e0b397861;e9f6ef6ea9bc447963a215fbeac98523813b6611;415;97922;no
51;e62a06fc40bad0835b39863082c5fa6a3fad0496;05dc815cd829e8906d625cba0d607893ba6bd190;a89a8af640c4e41be593e441d61ba47f807e9431;415;97194;yes
52;0b2a2586fb7bb88cb47b3c71fbc744df54ae9a34;196561f97d67d987853f35c3d3cd9ac28100c604;6d47b893709a4be9ace5c9c6be71d4e9c0071c19;415;97940;yes
78;b963c968ccfb76650d743f8f9df354d0a65a9347;06364c31d63222ed2a9c9100a8d71868a7b77eb0;f4f153e5ea790d804fbf18341d5b1a9c96074eb9;415;96396;no
183;3014bef546891e16e940b36dfc4bcf094e4d5bce;cee770dfdfc1fb74278381b6b9703d4bd5e6dbec;a194f7bb046c1fbe6dea2f03b3c46b5b2e91a154;415;92892;yes
184;f41d5af655c967a02a02c8ea7cd6edb6cc229963;4787c7ea04408ba1a215ae0d9583d63dd7201bed;42f8e44db6e850fc4cc8f7e2a28c91b661b857bb;415;93469;yes
109;1ec836615891efd6bdfa78703d4be423e4ac36a6;7ad87aa2ce8e11b9df81255072e997513ef28cc5;33a8ab8884508aeb4b52b5bb5c1dc40a3e78e865;452;99070;yes
162;da31a979cb033527945e40329d7f5af56e34a821;6837ee615744c3c1c71194e6d4ce8c7c1c46173a;34ffdd0c063b64c045637530634c7220faac44c6;452;98819;no
46;ca8bb7f5f00bbd79984fa3c24d31060902806c4c;ca8bb7f5f00bbd79984fa3c24d31060902806c4c;1cedf0e9a04516c620d49c9202cf84f0f138c627;459;94023;yes
100;85ebaf80b1220737c886a7f0aeb04546c5c66b11;17d575fcc60a41d91e39aca336a3de206e4170f6;35b5b246b6a524718dcd1c89a31708ab021a2e83;463;95802;no
234;4f0eddc03df7b145ad5feaac44712cd8b1269877;4457c42baf0c7530b0988c9cfa6da5dcf4248140;8ae43a4187cf0feeaff3d2fcb88334ff656233fa;464;96187;yes
